1,2,3,4,5,6,7,8,9,10,11,12,13
0.041,1.0795006741307065,-0.023,-0.559,121.66,152.17,-458.83,-550.49,66.62,89.76,1655.84,0.04259239196722549,1
0.093,0.2726015567086052,-0.015,-0.166,79.26,29.9,-210.78,-193.36,226.52,95.06,112.17,0.05044565573130016,1
0.082,2.000072551383997,0.011,0.129,85.51,93.0,1195.99,892.84,48.7,94.17,255.81,0.04666562187707037,1
0.076,6.883537371262203,0.011,0.145,212.37,181.13,41.19,74.79,92.57,131.47,46132274.81,0.0631223235297322,1
0.113,6.671420485321453,0.036,0.316,119.41,132.35,71.86,86.64,107.1,117.58,1553.96,0.06082453665649443,1
0.157,3.318137230182044,0.002,0.015,115.81,114.1,37.62,42.52,255.34,59.93,754.21,0.13351957300951978,1
0.095,0.4718815453864551,0.045,0.47,102.93,133.77,75.39,78.61,91.81,118.28,0.02,0.03104928418018224,1
0.306,1.7616743497201868,0.006,0.019,121.19,140.78,122.91,146.11,75.36,145.78,0.0,0.23916985785799175,1
0.12,5.901245710221928,0.015,0.123,123.42,116.8,64.52,69.29,83.48,106.45,370.38,0.07293017059904662,1
0.395,0.41972369866710296,0.005,0.013,105.75,117.87,19.17,19.95,112.65,99.98,177.73,0.3207572266649758,1
0.119,4.821922875468302,0.02,0.17,131.74,131.95,74.94,81.8,62.21,121.45,138.16,0.08316894747225531,1
0.084,10.439145990471602,0.007,0.082,156.06,129.42,116.17,153.29,97.33,113.71,11024.77,0.05401577919243729,1
0.292,2.540168968003615,0.0,0.0,137.59,155.25,5.48,7.54,104.58,183.2,0.0,0.2635475870107472,1
0.117,3.3475891512983376,0.031,0.263,132.36,146.84,93.64,91.39,112.57,116.88,310.32,0.07266188768104385,1
0.275,2.350860622267365,0.001,0.003,108.58,97.94,12.54,13.83,108.46,117.68,876.68,0.18426832923780162,1
0.101,7.63585008725238,0.012,0.117,151.3,152.28,107.45,144.6,72.87,106.66,0.0,0.07332772636869607,1
0.084,5.6925875170104,0.008,0.1,132.79,135.7,78.2,93.97,50.68,124.02,267.3,0.060444686123240575,1
0.248,2.827754445889729,0.019,0.076,125.84,135.34,40.49,49.41,91.6,117.62,0.0,0.15435233668124654,1
0.12,4.01845346420843,0.033,0.271,128.04,134.67,78.42,93.79,82.69,114.96,420.42,0.07695907082328197,1
0.309,2.2194594157437177,0.022,0.073,127.16,141.31,57.71,70.38,159.27,92.22,0.0,0.2609632361604831,1
0.083,5.5481273485271725,0.002,0.027,107.48,105.46,79.86,87.87,147.06,129.83,87.34,0.06959740145707308,1
0.173,2.729188343508038,0.029,0.17,195.58,201.99,-60.39,-99.29,193.97,178.6,0.0,0.11308246475202628,1
0.546,0.30046129216202044,-0.211,-0.386,84.69,192.75,-1169.79,-1381.59,105.82,134.4,54.42,0.5054059472150821,1
0.302,1.5677208652896801,0.003,0.01,135.9,167.23,99.77,134.35,52.94,112.58,0.0,0.2801749941424926,1
0.108,3.6124158028008253,0.018,0.162,133.59,139.15,38.0,42.55,85.82,107.86,0.0,0.08343373669048815,1
0.118,1.3064780774245963,0.028,0.241,100.43,91.25,59.27,59.2,41.54,165.69,120.93,0.05973457625639616,1
0.224,3.6732290938679686,0.0,0.002,106.54,107.65,-3.44,-3.66,84.96,95.8,0.0,0.15423087747638334,1
0.191,3.1909261242354243,0.001,0.005,120.37,100.41,99.63,135.14,59.95,140.52,40578.36,0.1549439949022432,1
0.223,2.859367493580676,-0.024,-0.107,133.03,149.6,113.94,167.16,58.32,108.35,4353.49,0.1676885626007627,1
0.117,7.521166090594647,0.018,0.152,139.76,149.74,38.35,45.3,44.31,112.42,21.49,0.059757602863872,1
0.321,1.838167944792888,0.034,0.106,116.32,108.37,73.62,76.95,46.53,121.36,0.0,0.27603699374202356,1
0.161,4.362684306344101,0.003,0.022,73.18,78.83,-5889.21,-4772.69,156.63,130.34,91.67,0.09040957553764188,-1
0.271,0.7828944894178785,-0.041,-0.152,82.38,81.56,-482.91,-458.08,60.53,100.1,0.0,0.23388788326191082,1
0.093,9.363385547837938,0.014,0.146,212.17,209.24,81.65,150.1,64.12,115.02,0.0,0.06449828083449537,1
0.173,2.289354141741871,0.052,0.303,167.41,231.41,1278.89,1370.23,70.92,108.34,72.21,0.10522869189078422,1
0.071,3.8624950366362056,0.017,0.244,183.46,190.91,65.17,77.98,71.87,137.2,1830.44,0.05271200955750111,1
0.244,3.153105005806099,-0.031,-0.127,119.68,127.84,-123.22,-166.19,38.98,73.21,0.0,0.21833162831300054,1
0.157,3.8034490400772984,0.003,0.019,135.97,123.61,29.78,39.63,72.62,112.31,184.45,0.14683046225529894,1
0.089,1.5297952933223036,0.015,0.172,144.4,131.59,56.39,78.72,13.72,123.04,3209850.86,0.06520133285137655,1
0.086,2.8843977872453146,0.011,0.125,128.32,125.03,59.24,64.38,108.69,133.05,14407.44,0.06618352451932956,1
0.057,3.7308524343104157,0.004,0.063,118.69,122.23,35.2,40.37,58.46,87.45,63.16,0.05491498377205668,1
0.105,2.7014619615974613,0.009,0.083,152.75,142.91,44.59,62.46,214.31,146.02,0.0,0.06779748261140661,1
0.173,2.728206427724466,0.011,0.065,125.02,131.37,92.51,104.63,146.02,86.92,0.0,0.13583038665336064,1
0.196,1.9897949937888102,0.006,0.029,97.62,75.51,17.93,17.17,94.03,74.65,397.92,0.178742876258163,1
0.325,1.480728324884193,0.031,0.096,87.97,105.76,60.55,57.74,47.98,139.97,6.4,0.14654168839010737,1
0.152,3.214299753883882,0.028,0.181,127.44,135.36,53.63,55.51,88.59,104.48,0.05,0.11256311042792579,1
0.09,3.020279366185956,0.048,0.53,89.04,90.58,67.56,77.92,1.54,99.8,48.1,0.03694140093383012,1
0.136,5.511072248341717,0.02,0.143,114.29,124.72,68.14,81.04,158.23,124.04,86.56,0.11659772865295803,1
0.146,0.30385214359496054,0.014,0.099,109.24,78.11,313.88,300.6,118.12,172.94,117.78,0.12590219782841433,1
0.062,8.158107007200647,0.009,0.145,149.98,162.49,60.19,77.73,69.69,93.75,16.87,0.050727176450863096,1
0.624,0.9320519122646961,0.0,0.001,130.39,371.89,2.83,3.61,169.13,148.76,0.0,0.5874616373636502,1
0.382,0.46005477942076073,-0.047,-0.122,185.92,1059.17,257.1,536.36,148.42,86.49,0.0,0.36691538817342506,1
0.129,4.438395762641004,0.008,0.059,109.09,106.08,132.61,135.63,72.83,212.37,0.0,0.10974206647766825,1
0.14,5.6355491768227095,0.0,0.003,88.01,113.36,1.02,0.9,121.19,173.49,28.89,0.08906154012851794,1
0.117,5.380979062124089,0.02,0.168,135.03,130.45,77.53,87.09,136.98,97.29,0.0,0.08193565185428577,1
0.437,1.1770323369257838,0.029,0.066,68.53,55.05,67.54,43.78,3.11,75.3,76.25,0.2957647341084836,1
0.215,3.71406787422854,0.01,0.045,123.91,145.27,58.04,68.66,218.95,125.67,44.01,0.18951455110198873,1
0.118,7.295211657757443,0.007,0.058,161.43,174.45,157.95,244.45,90.94,124.12,0.0,0.09873016192724764,1
0.171,3.387082424856484,0.005,0.032,152.58,174.33,27.57,43.75,118.28,141.42,0.0,0.12540180985175298,1
0.091,4.829269567522771,0.02,0.218,135.4,119.98,127.58,117.62,72.08,112.65,893.28,0.07224290748895205,1
0.196,2.586691103234946,0.0,0.002,152.5,198.52,1.5,2.29,45.98,107.16,50.45,0.16894171564403157,1
0.103,1.0743790130590205,0.002,0.017,105.86,102.19,11.83,12.31,203.21,154.51,104.07,0.10058445738576538,1
0.048,5.479963640585618,0.002,0.033,216.82,149.91,14.9,27.85,62.7,127.78,0.0,0.04083681968957271,1
0.392,0.684866937958608,0.015,0.04,146.48,145.84,94.88,132.0,81.64,132.37,143.57,0.3337631832916331,1
0.454,1.2628488999485437,0.048,0.105,104.88,92.44,72.32,67.87,191.38,95.52,0.0,0.3972379614612953,1
0.087,1.581610164767617,0.0,0.004,154.86,164.95,1.88,2.91,49.62,112.0,0.0,0.07672260927362747,1
0.189,0.5660003358636015,0.01,0.051,171.63,233.17,27.48,44.75,124.03,140.03,41.53,0.09264486318142409,1
0.048,10.101915285417922,0.005,0.097,225.52,139.83,49.4,112.84,33.74,109.55,75350.41,0.041811223920174,1
0.829,0.5589670131278978,-0.03,-0.036,103.28,160.16,39.23,41.6,230.95,151.78,0.0,0.8052752493233469,1
0.124,1.2292514006058093,0.005,0.042,187.99,200.07,53.38,136.88,12.75,104.81,121.55,0.10624386024371986,1
0.689,0.35699761681461456,0.005,0.008,100.8,98.5,13.82,13.83,14.23,100.03,151.7,0.6275940169412114,1
0.655,0.7408571266201421,0.006,0.009,104.3,159.54,26.62,27.52,173.51,100.23,0.0,0.6060746277772897,1
0.099,2.8012757252386113,0.004,0.044,169.36,154.57,108.15,174.4,56.44,95.43,0.0,0.08526400426098348,1
0.11,5.808482603885986,0.018,0.164,166.63,176.52,10.22,33.76,48.45,114.59,0.0,0.09398803509448059,1
